Final pids: 1357
epoll_ctl(5, EPOLL_CTL_MOD, 6, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(5, EPOLL_CTL_MOD, 7, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(5, EPOLL_CTL_MOD, 6, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(5, EPOLL_CTL_MOD, 7, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(5, EPOLL_CTL_MOD, 6, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(5, EPOLL_CTL_MOD, 7, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(11, EPOLL_CTL_MOD, 12, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(11, EPOLL_CTL_MOD, 13, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(11, EPOLL_CTL_MOD, 12, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(11, EPOLL_CTL_MOD, 13, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
